fecha_fallecimiento,departamento,n,corte
2020-05-17,PASCO,1,2020-08-01
2020-05-17,PIURA,11,2020-08-01
2020-05-17,SAN MARTIN,1,2020-08-01
2020-05-17,TUMBES,1,2020-08-01
2020-05-17,UCAYALI,3,2020-08-01
2020-05-18,AMAZONAS,1,2020-08-01
2020-05-18,ANCASH,11,2020-08-01
2020-05-18,AREQUIPA,3,2020-08-01
2020-05-18,AYACUCHO,1,2020-08-01
2020-05-18,CAJAMARCA,2,2020-08-01
2020-05-18,CALLAO,9,2020-08-01
2020-05-18,ICA,11,2020-08-01
2020-05-18,JUNIN,3,2020-08-01
2020-05-18,LA LIBERTAD,5,2020-08-01
2020-05-18,LAMBAYEQUE,20,2020-08-01
2020-05-18,LIMA,19,2020-08-01
2020-05-18,LORETO,3,2020-08-01
2020-05-18,MOQUEGUA,1,2020-08-01
2020-05-18,PIURA,17,2020-08-01
2020-05-18,PUNO,1,2020-08-01
2020-05-18,SAN MARTIN,4,2020-08-01
2020-05-18,TACNA,4,2020-08-01
2020-05-18,TUMBES,3,2020-08-01
2020-05-18,UCAYALI,4,2020-08-01
2020-05-19,AMAZONAS,1,2020-08-01
2020-05-19,ANCASH,6,2020-08-01
2020-05-19,AYACUCHO,1,2020-08-01
2020-05-19,CAJAMARCA,1,2020-08-01
2020-05-19,CALLAO,1,2020-08-01
2020-05-19,HUANUCO,1,2020-08-01
2020-05-19,ICA,12,2020-08-01
2020-05-19,JUNIN,1,2020-08-01
2020-05-19,LA LIBERTAD,12,2020-08-01
2020-05-19,LAMBAYEQUE,12,2020-08-01
2020-05-19,LIMA,13,2020-08-01
2020-05-19,LORETO,4,2020-08-01
2020-05-19,PIURA,14,2020-08-01
2020-05-19,SAN MARTIN,1,2020-08-01
2020-05-19,TUMBES,2,2020-08-01
2020-05-19,UCAYALI,3,2020-08-01
2020-05-20,AMAZONAS,1,2020-08-01
2020-05-20,ANCASH,3,2020-08-01
2020-05-20,AYACUCHO,1,2020-08-01
2020-05-20,CALLAO,7,2020-08-01
2020-05-20,HUANUCO,2,2020-08-01
2020-05-20,ICA,11,2020-08-01
2020-05-20,JUNIN,2,2020-08-01
2020-05-20,LA LIBERTAD,8,2020-08-01
2020-05-20,LAMBAYEQUE,16,2020-08-01
2020-05-20,LIMA,19,2020-08-01
2020-05-20,LORETO,2,2020-08-01
2020-05-20,MADRE DE DIOS,3,2020-08-01
2020-05-20,PASCO,1,2020-08-01
2020-05-20,PIURA,19,2020-08-01
2020-05-20,TUMBES,6,2020-08-01
2020-05-20,UCAYALI,2,2020-08-01
2020-05-21,AMAZONAS,1,2020-08-01
